,precision,recall,f1-score,support
rice leaf roller,0.7016129032258065,0.7791044776119403,0.7383309759547383,335.0
rice leaf caterpillar,0.535483870967742,0.564625850340136,0.5496688741721855,147.0
paddy stem maggot,0.5645161290322581,0.4430379746835443,0.49645390070921985,79.0
asiatic rice borer,0.6233333333333333,0.5917721518987342,0.6071428571428571,316.0
yellow rice borer,0.5806451612903226,0.7105263157894737,0.6390532544378698,152.0
rice gall midge,0.7575757575757576,0.8223684210526315,0.7886435331230283,152.0
Rice Stemfly,0.6666666666666666,0.6666666666666666,0.6666666666666666,111.0
brown plant hopper,0.5665236051502146,0.5258964143426295,0.5454545454545455,251.0
white backed plant hopper,0.5627705627705628,0.48507462686567165,0.5210420841683367,268.0
small brown plant hopper,0.5051020408163265,0.5963855421686747,0.5469613259668508,166.0
rice water weevil,0.8333333333333334,0.7587548638132295,0.7942973523421588,257.0
rice leafhopper,0.41317365269461076,0.5655737704918032,0.4775086505190312,122.0
grain spreader thrips,0.5185185185185185,0.5384615384615384,0.5283018867924528,52.0
rice shell pest,0.5304347826086957,0.4959349593495935,0.5126050420168068,123.0
grub,0.8464285714285714,0.9186046511627907,0.8810408921933085,258.0
mole cricket,0.96579476861167,0.9696969696969697,0.967741935483871,495.0
wireworm,0.8612099644128114,0.9063670411985019,0.8832116788321167,267.0
white margined moth,0.38333333333333336,0.5111111111111111,0.4380952380952381,45.0
black cutworm,0.622568093385214,0.622568093385214,0.622568093385214,257.0
large cutworm,0.3358208955223881,0.30405405405405406,0.3191489361702128,148.0
yellow cutworm,0.4421768707482993,0.4513888888888889,0.44673539518900346,144.0
red spider,0.6687898089171974,0.660377358490566,0.6645569620253164,159.0
corn borer,0.7250922509225092,0.7705882352941177,0.747148288973384,510.0
army worm,0.6287625418060201,0.5838509316770186,0.605475040257649,322.0
aphids,0.8316929133858267,0.6875508543531327,0.7527839643652561,1229.0
Potosiabre vitarsis,0.9230769230769231,0.9176470588235294,0.9203539823008848,170.0
peach borer,0.8142857142857143,0.8221153846153846,0.8181818181818181,208.0
english grain aphid,0.39790575916230364,0.38578680203045684,0.39175257731958757,197.0
green bug,0.28688524590163933,0.35714285714285715,0.3181818181818182,98.0
bird cherry-oataphid,0.3991769547325103,0.45539906103286387,0.4254385964912281,213.0
wheat blossom midge,0.8888888888888888,0.9863013698630136,0.935064935064935,146.0
penthaleus major,0.6521739130434783,0.6428571428571429,0.6474820143884892,70.0
longlegged spider mite,0.5135135135135135,0.5135135135135135,0.5135135135135135,74.0
wheat phloeothrips,0.5045871559633027,0.625,0.5583756345177665,88.0
wheat sawfly,0.8090909090909091,0.8725490196078431,0.8396226415094339,102.0
cerodonta denticornis,0.40476190476190477,0.40476190476190477,0.40476190476190477,42.0
beet fly,0.21568627450980393,0.34375,0.26506024096385544,32.0
flea beetle,0.8605577689243028,0.9113924050632911,0.8852459016393442,237.0
cabbage army worm,0.46511627906976744,0.4669260700389105,0.4660194174757281,257.0
beet army worm,0.6433566433566433,0.5726141078838174,0.6059275521405049,482.0
Beet spot flies,0.6571428571428571,0.7666666666666667,0.7076923076923077,90.0
meadow moth,0.7674418604651163,0.8148148148148148,0.7904191616766467,81.0
beet weevil,0.5314685314685315,0.8172043010752689,0.6440677966101696,93.0
sericaorient alismots chulsky,0.7704918032786885,0.8103448275862069,0.7899159663865546,58.0
alfalfa weevil,0.7266666666666667,0.689873417721519,0.7077922077922079,158.0
flax budworm,0.50187265917603,0.41875,0.4565587734241908,320.0
alfalfa plant bug,0.43478260869565216,0.6598984771573604,0.5241935483870968,197.0
tarnished plant bug,0.40860215053763443,0.7723577235772358,0.5344585091420535,246.0
Locustoidea,0.9186046511627907,0.9427207637231504,0.9305064782096585,419.0
lytta polita,0.6519337016574586,0.5989847715736041,0.6243386243386243,197.0
legume blister beetle,0.7662037037037037,0.7825059101654847,0.7742690058479532,423.0
blister beetle,0.7226277372262774,0.6947368421052632,0.708407871198569,570.0
therioaphis maculata Buckton,0.2558139534883721,0.28205128205128205,0.2682926829268293,78.0
odontothrips loti,0.5538461538461539,0.6666666666666666,0.6050420168067226,54.0
Thrips,0.4898785425101215,0.4583333333333333,0.4735812133072407,264.0
alfalfa seed chalcid,0.6065573770491803,0.6607142857142857,0.6324786324786325,56.0
Pieris canidia,0.9710144927536232,0.950354609929078,0.9605734767025089,141.0
Apolygus lucorum,0.37894736842105264,0.6260869565217392,0.4721311475409837,115.0
Limacodidae,0.9112149532710281,0.9263657957244655,0.9187279151943463,421.0
Viteus vitifoliae,0.7024793388429752,0.794392523364486,0.7456140350877193,107.0
Colomerus vitis,0.6885245901639344,0.7924528301886793,0.7368421052631579,53.0
Brevipoalpus lewisi McGregor,0.375,0.875,0.525,24.0
oides decempunctata,0.9431818181818182,0.9764705882352941,0.9595375722543352,85.0
Polyphagotars onemus latus,0.25925925925925924,0.5384615384615384,0.35000000000000003,26.0
Pseudococcus comstocki Kuwana,0.693069306930693,0.7526881720430108,0.7216494845360825,93.0
parathrene regalis,0.660377358490566,0.8333333333333334,0.7368421052631579,42.0
Ampelophaga,0.8709677419354839,0.8217391304347826,0.8456375838926175,230.0
Lycorma delicatula,0.9448424068767909,0.8274780426599749,0.882274247491639,1594.0
Xylotrechus,0.8717948717948718,0.8869565217391304,0.8793103448275862,345.0
Cicadella viridis,0.6109154929577465,0.9036458333333334,0.7289915966386554,384.0
Miridae,0.8966183574879227,0.6085245901639345,0.7250000000000001,1525.0
Trialeurodes vaporariorum,0.8379629629629629,0.8701923076923077,0.8537735849056604,208.0
Erythroneura apicalis,0.25,0.8181818181818182,0.38297872340425526,22.0
Papilio xuthus,0.8979591836734694,0.9777777777777777,0.9361702127659575,135.0
Panonchus citri McGregor,0.65,0.7844827586206896,0.7109375000000001,116.0
Phyllocoptes oleiverus ashmead,0.7586206896551724,0.8461538461538461,0.8,52.0
Icerya purchasi Maskell,0.8333333333333334,0.8294930875576036,0.8314087759815242,217.0
Unaspis yanonensis,0.7931034482758621,0.7301587301587301,0.7603305785123967,126.0
Ceroplastes rubens,0.8488372093023255,0.9358974358974359,0.8902439024390244,78.0
Chrysomphalus aonidum,0.7424242424242424,0.7205882352941176,0.7313432835820897,68.0
Parlatoria zizyphus Lucus,0.3125,0.6521739130434783,0.4225352112676057,23.0
Nipaecoccus vastalor,0.35555555555555557,0.5333333333333333,0.42666666666666675,30.0
Aleurocanthus spiniferus,0.8663594470046083,0.9038461538461539,0.8847058823529411,208.0
Tetradacus c Bactrocera minax,0.75,0.717948717948718,0.7336244541484715,117.0
Dacus dorsalis(Hendel),0.653179190751445,0.8560606060606061,0.740983606557377,132.0
Bactrocera tsuneonis,0.5,0.4117647058823529,0.45161290322580644,51.0
Prodenia litura,0.6498800959232613,0.6913265306122449,0.6699629171817059,392.0
Adristyrannus,0.6302521008403361,0.7978723404255319,0.7042253521126761,94.0
Phyllocnistis citrella Stainton,0.7928571428571428,0.9098360655737705,0.8473282442748091,122.0
